,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.16063647270202636,0.04896649517630473,0.0020004749298095704,3.2340669551493016e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.5384615384615384,0.521978021978022,0.48626373626373626,0.5192307692307693,0.5192307692307693,0.5170329670329671,0.01697081891371484,70,0.5151098901098901,0.5487637362637363,0.5247252747252747,0.5494505494505495,0.5521978021978022,0.5380494505494505,0.015157268378168958
1,0.12902941703796386,0.02516937886893435,0.00200042724609375,4.90933901833868e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.47527472527472525,0.4835164835164835,0.489010989010989,0.49725274725274726,0.5164835164835165,0.49230769230769234,0.014051331706092796,233,0.5212912087912088,0.5501373626373627,0.5673076923076923,0.5082417582417582,0.5625,0.5418956043956044,0.023217943011209646
2,0.18404226303100585,0.07069878959249301,0.0020001888275146484,3.568322550558034e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.4945054945054945,0.5357142857142857,0.5467032967032966,0.5054945054945055,0.5576923076923077,0.528021978021978,0.024163333436589027,20,0.728021978021978,0.5982142857142857,0.5824175824175825,0.676510989010989,0.5693681318681318,0.6309065934065934,0.06118514892504219
3,0.11862697601318359,0.01577174123066532,0.0022002696990966798,0.00040011410206865087,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.5467032967032966,0.5439560439560439,0.5,0.5192307692307693,0.47527472527472525,0.5170329670329671,0.026995864827556577,70,0.5693681318681318,0.5199175824175825,0.5542582417582418,0.5521978021978022,0.5377747252747253,0.5467032967032968,0.016722173399487023
4,0.1516343116760254,0.09080104896104695,0.002000284194946289,2.7804145311571603e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.5137362637362637,0.5027472527472527,0.5384615384615384,0.4642857142857143,0.5357142857142857,0.510989010989011,0.026917469700914035,124,0.7657967032967034,0.5034340659340659,0.4945054945054945,0.5130494505494505,0.4993131868131868,0.5552197802197802,0.10546516876889393
5,0.19744482040405273,0.07278076615101807,0.0024003982543945312,0.0004902714583206292,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",0.521978021978022,0.5027472527472527,0.4835164835164835,0.4725274725274725,0.49175824175824173,0.4945054945054945,0.016935203304859838,215,0.7239010989010989,0.5061813186813187,0.7637362637362637,0.6929945054945055,0.5212912087912088,0.6416208791208791,0.10690608524057928
6,0.13162994384765625,0.014308284261369588,0.0020006656646728515,4.90933901833868e-07,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",0.45879120879120877,0.5521978021978022,0.5,0.49725274725274726,0.48626373626373626,0.4989010989010989,0.030374230683703873,201,0.5686813186813187,0.6016483516483516,0.5762362637362637,0.5281593406593407,0.5240384615384616,0.5597527472527473,0.029598381426518515
7,0.2508570671081543,0.07194766843201028,0.002400493621826172,0.0004899013824479931,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 35}",0.554945054945055,0.5082417582417582,0.5412087912087912,0.5302197802197802,0.48626373626373626,0.5241758241758242,0.024350021765011366,27,0.8221153846153846,0.8351648351648352,0.7870879120879121,0.8193681318681318,0.5412087912087912,0.760989010989011,0.11102351628795114
8,0.16023664474487304,0.03457581231584984,0.0024005889892578123,0.000490115546189654,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 40}",0.5137362637362637,0.4835164835164835,0.521978021978022,0.5384615384615384,0.5054945054945055,0.5126373626373626,0.0181900498431284,111,0.657967032967033,0.5590659340659341,0.7081043956043956,0.5824175824175825,0.7266483516483516,0.6468406593406594,0.06648465170223239
9,0.20384645462036133,0.06769873752397677,0.00200037956237793,3.8146972656249997e-07,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 45}",0.47527472527472525,0.510989010989011,0.5384615384615384,0.5302197802197802,0.5054945054945055,0.512087912087912,0.022019192208257012,112,0.6016483516483516,0.779532967032967,0.8173076923076923,0.6627747252747253,0.6270604395604396,0.6976648351648352,0.08536775718567409
10,0.16944074630737305,0.059135795531878185,0.0021983623504638673,0.00039606097230789446,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 50}",0.4725274725274725,0.489010989010989,0.5274725274725275,0.48626373626373626,0.5494505494505495,0.5049450549450549,0.02878197989826111,163,0.657967032967033,0.5233516483516484,0.5164835164835165,0.7644230769230769,0.6717032967032966,0.6267857142857143,0.09465631333869175
