,GMM,Kmeans
2,0.000807006,0.000800557
5,-0.00040981,-0.000517009
10,0.00014097,-0.00021628
15,-7.79E-05,0.000254855
20,0.002331886,-8.41E-06
25,0.000206573,0.000946521
30,0.001254685,0.000186963
35,-0.000632032,0.000192336
40,-0.000859038,1.68E-05
