,0,1,2,3,4,5,6,7,8,9
2,0.43675815183654954,0.498621302220231,0.5542194915766899,0.3974957329260818,0.5266328859437471,0.3469200813852277,0.35516625251532696,0.22174627266088545,0.4804139768874915,0.425034618314568
5,0.67186556961171,0.6472072696078237,0.7023798076357628,0.7165892001197428,0.6582073493546677,0.5046571710913825,0.6109445745440771,0.48789678780210033,0.7235617027840017,0.4491346401808481
10,0.7759394747238145,0.817992690541562,0.8063462875225714,0.7818799263618454,0.759173984891682,0.8506279746652382,0.7526292255466845,0.7629870956821105,0.8776548908878045,0.8246303360591862
15,0.8532706343554297,0.8654067496359875,0.8602225473397691,0.8089564412240411,0.825140556772249,0.879479223814866,0.8274814995862353,0.7897626453279557,0.8342662230534393,0.8626251874183603
20,0.8514857251576468,0.8929638154218689,0.8981995415924965,0.8505170135783793,0.8119709308534577,0.8524368092200768,0.8668601658999711,0.8601452572478357,0.8885151877339448,0.9107990216002463
25,0.9007291039565352,0.9229015481184591,0.9071725812225923,0.9220198581090322,0.9082039975407944,0.8991875848614477,0.8783283854262264,0.9058644806298227,0.9281447796605036,0.8988833250207683
30,0.9139920955007271,0.9405869570695868,0.9219576343568039,0.9245690820159688,0.9350000811452003,0.9017183756768617,0.9234723349288202,0.9042456829106785,0.9256775041976907,0.9257244524730653
35,0.926544016724465,0.9464182136246764,0.9202752877516027,0.9041102439050152,0.9368367563294223,0.930820700477261,0.9364759204331694,0.9297863191826496,0.9396918532008314,0.9213735126293238
40,0.9449425259219978,0.9419621790332303,0.9365084100844671,0.929161634311626,0.9503663946262013,0.9388297592290675,0.9415384158537653,0.9307381598570453,0.9427402617082327,0.9331062137638106
45,0.9425034207068506,0.9578097924561991,0.9360066749872591,0.9238664293857297,0.953761158108259,0.9529504371322018,0.955276702991072,0.937291530131223,0.9547642986764332,0.9324761897608689
50,0.9555208928178547,0.9526375926038849,0.9413878634585614,0.9397262216868351,0.9531457617864942,0.963068206151131,0.9551457067649831,0.9317983793059407,0.9425194144048311,0.9358695297957094
55,0.9597541776593608,0.9471531084076488,0.957878016476534,0.9515888648802838,0.9677055319487624,0.9548869327758357,0.9507684916127805,0.9412151061663545,0.9539146141669872,0.9486103817963464
60,0.9552476755599568,0.9679617945321662,0.965932687353174,0.9481422108991446,0.965256008904933,0.9701826221112846,0.9653296193340851,0.9522871923652138,0.9588549636626678,0.9483497274474069
