,Digits log-likelihood,Madelon log-likelihood
2,5.9170180759797395,-14.117656325966108
5,38.40772153015693,-14.02368422337961
10,50.53140078396162,-13.811806594466365
15,55.31225303292596,-13.681278362353284
20,65.26254650087542,-13.443588898670768
25,74.16669412891963,-13.294981980055644
30,84.23625978076691,-13.105964547102262
35,90.26510464953243,-12.923957559311281
40,101.70692492438641,-12.776571828285899
