,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.20964784622192384,0.04630796808779086,0.0010002613067626952,2.431401974483864e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.3516483516483517,0.3370165745856354,0.35097493036211697,0.4061624649859944,0.30422535211267604,0.3500278241513634,0.032791192779002824,248,0.4019539427773901,0.3867595818815331,0.39707927677329624,0.37777777777777777,0.3800277392510402,0.3887196636922075,0.0094249202896354
1,0.2782630920410156,0.027064760419858294,0.0012002944946289062,0.0004001379687844432,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.6043956043956044,0.56353591160221,0.5543175487465181,0.5350140056022409,0.5549295774647888,0.5626043405676127,0.02303326392798746,226,0.6301465457083043,0.6501742160278746,0.6321279554937413,0.6263888888888889,0.6407766990291263,0.6359228610295872,0.008547802221734822
2,0.33547821044921877,0.0702959669635752,0.0010000228881835937,3.2340669551493016e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.8214285714285714,0.7430939226519337,0.7827298050139275,0.7955182072829131,0.7661971830985915,0.781858653311074,0.026562261132849027,198,0.886950453593859,0.883623693379791,0.8463143254520167,0.8340277777777778,0.8807212205270458,0.8663274941460981,0.021796526888919154
3,0.3542807579040527,0.032481395549219375,0.0010002613067626952,1.9073486328124998e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.8296703296703297,0.7900552486187845,0.8189415041782729,0.84593837535014,0.7943661971830986,0.8158041179744018,0.021110817455726714,166,0.9211444521981856,0.9289198606271777,0.9248956884561892,0.8861111111111111,0.9244105409153953,0.9170963306616118,0.015688177925167898
4,0.3326751232147217,0.0743018083210395,0.0012001991271972656,0.0003999472339533424,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.8461538461538461,0.7707182320441989,0.8495821727019499,0.8599439775910365,0.8253521126760563,0.8302726766833611,0.03193334872172913,152,0.9553384508025122,0.9303135888501742,0.9193324061196105,0.8784722222222222,0.920249653259362,0.9207412642507762,0.02480924501932358
5,0.39088850021362304,0.05978775796680739,0.001000213623046875,9.536743164062499e-08,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",0.8791208791208791,0.7928176795580111,0.841225626740947,0.8879551820728291,0.8394366197183099,0.8480801335559266,0.03391761009606391,137,0.958827634333566,0.9261324041811847,0.9450625869262865,0.9368055555555556,0.9667128987517337,0.9467082159496651,0.01463695626604796
6,0.346678638458252,0.09051174843291757,0.0010005474090576173,3.8738433859996607e-07,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",0.8516483516483516,0.8370165745856354,0.7799442896935933,0.9047619047619048,0.8507042253521127,0.8447412353923205,0.03978929055007406,140,0.9218422889043963,0.9825783972125436,0.9179415855354659,0.9618055555555556,0.9833564493758669,0.9535048553167658,0.028539636998547734
7,0.41129317283630373,0.06518957207523852,0.001000213623046875,3.814697265625e-07,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 35}",0.8681318681318682,0.8176795580110497,0.9164345403899722,0.9327731092436975,0.8225352112676056,0.8714524207011686,0.046996723381823965,104,0.9734822051639916,0.9686411149825784,0.9867872044506258,0.9736111111111111,0.9653259361997226,0.9735695143816059,0.007307015612754782
8,0.36448283195495607,0.037122508632909994,0.001200103759765625,0.00039999486081696955,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 40}",0.8598901098901099,0.850828729281768,0.8746518105849582,0.927170868347339,0.8535211267605634,0.8731218697829716,0.028147859460552836,99,0.9727843684577809,0.9860627177700348,0.9798331015299027,0.9625,0.9604715672676838,0.9723303510050805,0.009821831263728062
9,0.42769722938537597,0.029614705378254964,0.0010003089904785157,3.568322550558034e-07,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 45}",0.9478021978021978,0.8204419889502762,0.924791086350975,0.9243697478991597,0.8507042253521127,0.8937117417918754,0.04918537936811457,40,0.9881367759944173,0.9902439024390244,0.9860917941585535,0.9826388888888888,0.9889042995839112,0.9872031322129591,0.002648748160730377
10,0.44210052490234375,0.06996470325013718,0.001602506637573242,0.0004919200728938858,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 50}",0.9038461538461539,0.8674033149171271,0.9275766016713092,0.9131652661064426,0.9042253521126761,0.9031719532554258,0.019921500106966784,13,0.9734822051639916,0.9846689895470383,0.9937413073713491,0.9875,0.992371705963939,0.9863528416092636,0.007219705909311711
11,0.37848610877990724,0.08547459658042035,0.0009999752044677734,2.78041453115716e-07,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 55}",0.9258241758241759,0.8425414364640884,0.9415041782729805,0.9355742296918768,0.8929577464788733,0.907623817473567,0.036706734434508385,9,0.988834612700628,0.9554006968641114,0.9798331015299027,0.9895833333333334,0.9958391123439667,0.9818981713543884,0.014197932501672403
12,0.36248197555541994,0.061308775846484,0.0010003089904785157,3.2340669551493016e-07,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 60}",0.9120879120879121,0.856353591160221,0.9052924791086351,0.9411764705882353,0.8816901408450705,0.899276572064552,0.028661705084337505,17,0.9755757152826239,0.9951219512195122,0.9812239221140473,0.99375,0.9854368932038835,0.9862216963640134,0.007413777293222624
13,0.1388315200805664,0.03761388145176329,0.0010002613067626952,2.86102294921875e-07,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",0.37362637362637363,0.30939226519337015,0.3231197771587744,0.40896358543417366,0.3126760563380282,0.34557595993322204,0.03919096458196207,249,0.371946964410328,0.33658536585365856,0.3525730180806676,0.3715277777777778,0.3800277392510402,0.3625321730746945,0.015799212694683238
14,0.2596588134765625,0.09164967644933489,0.0008000850677490235,0.00040004257295020516,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",0.6318681318681318,0.5386740331491713,0.4763231197771588,0.5210084033613446,0.5521126760563381,0.5442404006677797,0.051015813422431354,233,0.6329378925331473,0.5937282229965157,0.5243393602225312,0.6041666666666666,0.630374479889043,0.5971093244615807,0.03936232329815249
15,0.2688608169555664,0.09947386036730321,0.0010004043579101562,2.611744678045111e-07,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",0.8159340659340659,0.6602209944751382,0.7576601671309192,0.7899159663865546,0.7408450704225352,0.7529215358931552,0.0532970732693381,212,0.8632240055826936,0.7804878048780488,0.805980528511822,0.8333333333333334,0.819001386962552,0.8204054118536901,0.02758270115379017
16,0.26105918884277346,0.07399800731921718,0.0010001182556152344,1.784161275279017e-07,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",0.8021978021978022,0.7596685082872928,0.7938718662952646,0.7563025210084033,0.7690140845070422,0.7762938230383973,0.01852553951657752,203,0.8590369853454292,0.8815331010452961,0.9089012517385258,0.7986111111111112,0.8723994452149791,0.8640963788910682,0.03659063973204672
17,0.33307604789733886,0.06628722275950802,0.0010003089904785157,1.1680077279964343e-07,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 20}",0.8543956043956044,0.7292817679558011,0.8189415041782729,0.8683473389355743,0.8309859154929577,0.8202559821925431,0.048845459023675375,161,0.928122819260293,0.8954703832752613,0.8991655076495132,0.9430555555555555,0.9389736477115118,0.920957582690427,0.019943577850081464
