,Digits SSE (left),Madelon SSE (left)
2,97886.32495687889,16751.700705559626
5,82323.37652315613,14499.44071202474
10,67254.72241024309,12746.368499208726
15,58390.241558767746,11740.303145084723
20,51714.85508332771,11033.289749266187
25,47506.5001606757,10511.247607552552
30,43654.28071209235,10090.545314225204
35,41208.7122636276,9728.957541823042
40,38830.17249263195,9411.347506402548
