,0,1,2,3,4,5,6,7,8,9
2,0.9161209040739949,0.9079134701464112,0.9295897616975659,0.9241248674638834,0.9209458346697212,0.922936761992268,0.9218378893289081,0.9217905909029745,0.9227456443373371,0.9218103582341514
5,0.8823195021489166,0.8736723806296481,0.8958865280886604,0.8773021802744482,0.8941166733993657,0.8788880179250376,0.8896160896939357,0.8882124764583116,0.8793678612360746,0.8993821587458819
10,0.8034439694860732,0.7942158689797995,0.8036255996052029,0.8089038775574077,0.8074787119883818,0.7852523102948984,0.8081070170750847,0.7996713561675639,0.7896265000022314,0.7864652637138712
15,0.7471136160957729,0.716532260447499,0.7471415311034579,0.7323781972063288,0.739097411608811,0.7275850595512318,0.7424045400835263,0.7164873191777708,0.7337389949646177,0.7396936628840357
20,0.658398624699102,0.666984778523143,0.6618789842462086,0.6499107061566464,0.6787766864993854,0.6646737726113319,0.6496565548565341,0.6683921451370737,0.6908154527488293,0.6486219762542279
25,0.5785698696275094,0.5722564818379187,0.5888885482684644,0.5826229015020611,0.5822121321077742,0.5970178406766657,0.5714773268766669,0.5526300117480241,0.5593228351972741,0.5962421870405563
30,0.49677099640651745,0.4902922001676765,0.4798207391623479,0.4903416894406696,0.5154118288214655,0.5099682287829663,0.5041763999937997,0.5274510525994186,0.5046896798301146,0.5112273239061081
35,0.446849337074309,0.4294682651845963,0.4397971128679142,0.44198508656169744,0.41381300745957145,0.4501420302532687,0.43408366340642185,0.4227684869164597,0.43192312601709576,0.42118434721201603
40,0.347846207531244,0.3491089371062523,0.37784063801676643,0.3586422069938242,0.35756152465796087,0.36135865520996724,0.3525410673175935,0.36850444107643027,0.36046592129260463,0.3413944326973501
45,0.2725539854186749,0.27799214672883815,0.2874884097853213,0.28907708899289325,0.2692902428311287,0.27383281063402104,0.288443495773216,0.26512436025327457,0.2491836017530909,0.2927385690051185
50,0.196640366355931,0.21934327547517235,0.20787387290446938,0.21223595174802387,0.22386807965418523,0.20417906236395544,0.19160116227248752,0.20326389846847187,0.21666828382442907,0.2044524799646329
55,0.12720734290708777,0.14553437183535028,0.14162765387956286,0.11670054142668533,0.11448468857284243,0.14289285767152435,0.14287608828998113,0.13650101310926213,0.15686100452564503,0.13424668398637563
60,0.07247813580294594,0.061328507660023124,0.05285520977005759,0.05883829755321723,0.05660046404502761,0.06732245013533542,0.05804284067575617,0.057409448155596676,0.05535491581187273,0.06163405541014946
