,GMM,Kmeans
2,0.017801931,0.127196328
5,0.336329609,0.334993429
10,0.638322925,0.607801082
15,0.632255662,0.62339621
20,0.611712787,0.622344386
25,0.604169942,0.601167401
30,0.579479661,0.580608311
35,0.535349325,0.54742692
40,0.530030589,0.535492684
