,Digits log-likelihood,Madelon log-likelihood
2,-31.81096649991872,1.0390757887938933
5,-26.487294991789444,2.061701844348984
10,-16.76336290159299,3.0640784445629508
15,-9.103453527694647,3.7524002065106847
20,-8.88307773512236,4.532497515645527
25,-3.6690938809483917,5.147424270186303
30,2.3591930858080445,5.833154131238513
35,8.584872436532633,6.515043409094382
40,17.685902857820228,7.123035542225515
