,Digits SSE (left),Madelon SSE (left)
2,63331.375197931484,28705.25408074417
5,49960.11323595235,20445.129041069446
10,38472.799718237,15352.663874914237
15,34156.24779293167,12960.180399735269
20,31105.941517477153,11325.966355429731
25,29251.34332667538,10225.174335310752
30,27622.730297001428,9350.47831314506
35,26262.673461686754,8766.868271192585
40,25388.13084509528,8250.719040520094
