,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.20071196556091309,0.07675251841829275,0.0010004838307698567,1.1239159602905075e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.600328947368421,0.5891089108910891,0.6303630363036303,0.6065934065934065,0.01740762063855462,150,0.5726072607260726,0.6103789126853377,0.6449752883031301,0.6093204872381801,0.029553601609830144
1,0.27706265449523926,0.02847865273783048,0.0010002454121907551,2.9736021254650284e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6332236842105263,0.6683168316831684,0.6749174917491749,0.6587912087912088,0.018307958359130894,86,0.6402640264026402,0.700164744645799,0.6911037891268533,0.6771775200584309,0.02636259647222619
2,0.2650631268819173,0.03767124784530099,0.0013308525085449219,0.0004664818168958491,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.6957236842105263,0.6303630363036303,0.6534653465346535,0.6598901098901099,0.027073907177525502,83,0.6996699669966997,0.6647446457990115,0.6729818780889621,0.6791321636282244,0.014906688081780977
3,0.483443021774292,0.18397352834687494,0.001333475112915039,0.00047120177640471074,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6990131578947368,0.6864686468646864,0.7821782178217822,0.7225274725274725,0.04245487633540412,30,0.7194719471947195,0.6820428336079077,0.8088962108731467,0.7368036638919246,0.05321801783640195
4,0.4921111265818278,0.043743795086473546,0.0010001659393310547,0.0,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.743421052631579,0.6666666666666666,0.7524752475247525,0.7208791208791209,0.038480446016808376,32,0.7656765676567657,0.7084019769357496,0.7586490939044481,0.7442425461656544,0.025504981851625023
5,0.54912797609965,0.12946528384861034,0.0013336340586344402,0.00047125800235667525,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.75,0.7293729372937293,0.7904290429042904,0.7565934065934066,0.02534627176198126,16,0.7863036303630363,0.7627677100494233,0.8113673805601318,0.7868129069908637,0.019844000192335128
6,0.5387892723083496,0.06806128288801007,0.0013333956400553386,0.00047142655959197545,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.7368421052631579,0.6716171617161716,0.6996699669966997,0.7027472527472527,0.026723839207728722,44,0.773102310231023,0.7125205930807249,0.7224052718286655,0.7360093917134711,0.02653727154525379
7,0.434765100479126,0.05758882379265627,0.0013335545857747395,0.0004713141679983425,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.6644736842105263,0.7607260726072608,0.6584158415841584,0.6945054945054945,0.04685178658991589,56,0.6394389438943895,0.7965403624382208,0.6490939044481054,0.695024403593572,0.0718907596794599
8,0.6204744974772135,0.08627647366534721,0.0013337135314941406,0.0004715389511856095,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.7023026315789473,0.7706270627062707,0.7425742574257426,0.7384615384615385,0.028051856585003292,21,0.7326732673267327,0.7948929159802306,0.7644151565074135,0.7639937799381255,0.02540281268286435
9,0.11669309933980306,0.01603120008279571,0.0010004838307698567,1.1239159602905075e-07,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.631578947368421,0.6006600660066007,0.5693069306930693,0.6005494505494505,0.025429513164822524,154,0.6221122112211221,0.6095551894563427,0.5848434925864909,0.6055036310879852,0.015482262777686004
10,0.2163823445638021,0.04779733936368646,0.0010002454121907551,1.1239159602905075e-07,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.6266447368421053,0.5957095709570958,0.6716171617161716,0.6313186813186813,0.031148526111839162,117,0.6270627062706271,0.6095551894563427,0.685337726523888,0.6406518740836192,0.03239596006177023
11,0.1980449358622233,0.024267953939242394,0.0010000864664713542,2.9736021254650284e-07,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.6299342105263158,0.599009900990099,0.5693069306930693,0.5994505494505494,0.02475970593951354,157,0.6221122112211221,0.6243822075782537,0.5799011532125206,0.6087985240039654,0.02045453087311851
12,0.30340226491292316,0.06490636037374775,0.0010002454121907551,2.247831920581015e-07,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.649671052631579,0.5561056105610561,0.7227722772277227,0.6428571428571429,0.06817502052706252,99,0.6386138613861386,0.5601317957166392,0.7240527182866557,0.6409327917964779,0.06694052232012802
