,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
160,0.6663516998291016,0.045499764628776085,0.06961550712585449,0.00550087228298916,0.001,"(25,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 20}",0.7115384615384616,0.7637362637362637,0.7527472527472527,0.6565934065934066,0.7197802197802198,0.7208791208791209,0.037612288110164455,89,0.7623626373626373,0.7644230769230769,0.7438186813186813,0.7053571428571429,0.7348901098901099,0.7421703296703297,0.02151205911475231
161,0.6547484397888184,0.047737394334183225,0.07221684455871583,0.005193371159735138,0.001,"(25,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 25}",0.7060439560439561,0.6428571428571429,0.7197802197802198,0.7087912087912088,0.6895604395604396,0.6934065934065934,0.02706287990335109,126,0.7383241758241759,0.6634615384615384,0.7733516483516484,0.7678571428571429,0.7252747252747253,0.7336538461538462,0.039407518850639825
162,0.6713519096374512,0.04848959559921918,0.06721563339233398,0.0036561991184718835,0.001,"(25,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 30}",0.6648351648351648,0.6868131868131868,0.717032967032967,0.6098901098901099,0.6868131868131868,0.6730769230769231,0.0356931467448609,159,0.7342032967032966,0.7005494505494505,0.7774725274725275,0.679945054945055,0.7554945054945055,0.729532967032967,0.03547680979639105
163,0.6969582080841065,0.04246172963782605,0.06921577453613281,0.003656079097599935,0.001,"(25,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 35}",0.6868131868131868,0.7087912087912088,0.7032967032967034,0.6263736263736264,0.6401098901098901,0.6730769230769231,0.033601944728397073,159,0.782967032967033,0.7623626373626373,0.7548076923076923,0.6929945054945055,0.7135989010989011,0.7413461538461538,0.033054485654102427
164,0.6367447853088379,0.08208326059265623,0.07021594047546387,0.001720806029382345,0.001,"(25,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 40}",0.6291208791208791,0.7032967032967034,0.6675824175824175,0.6291208791208791,0.695054945054945,0.6648351648351648,0.031467738600607385,176,0.7527472527472527,0.7465659340659341,0.7465659340659341,0.6881868131868132,0.7513736263736264,0.7370879120879121,0.02457755015254829
165,0.6727525234222412,0.11416946928022646,0.06681480407714843,0.002136766005767281,0.001,"(25,)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 45}",0.6483516483516484,0.7197802197802198,0.6401098901098901,0.6565934065934066,0.5961538461538461,0.6521978021978022,0.039720372685555644,195,0.7877747252747253,0.8090659340659341,0.7087912087912088,0.7396978021978022,0.6778846153846154,0.7446428571428572,0.04853276828983332
166,0.6743532657623291,0.07957306805750226,0.06921572685241699,0.002400541345797001,0.001,"(25,)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 50}",0.6346153846153846,0.6538461538461539,0.6373626373626373,0.6428571428571429,0.6456043956043956,0.6428571428571429,0.006729367425228532,213,0.7802197802197802,0.7438186813186813,0.7534340659340659,0.7774725274725275,0.7252747252747253,0.756043956043956,0.02072036958489918
167,0.664552640914917,0.04595503033377009,0.06681361198425292,0.003059915263071423,0.001,"(25,)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 55}",0.6346153846153846,0.6126373626373627,0.5851648351648352,0.6098901098901099,0.6016483516483516,0.6087912087912087,0.016075537184975584,254,0.7760989010989011,0.6346153846153846,0.6826923076923077,0.6751373626373627,0.7122252747252747,0.6961538461538461,0.04703060805935897
168,0.6923593044281006,0.06574748868492422,0.06581463813781738,0.003816459977465762,0.001,"(25,)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'filter__n': 60}",0.6373626373626373,0.5934065934065934,0.6043956043956044,0.5989010989010989,0.6456043956043956,0.615934065934066,0.021308482889742113,246,0.8083791208791209,0.6936813186813187,0.7328296703296703,0.6861263736263736,0.7678571428571429,0.7377747252747253,0.045882822118256464
169,0.6411476135253906,0.11932088392656963,0.06761350631713867,0.0029402383203578275,0.001,"(25, 25)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 2}",0.6923076923076923,0.6236263736263736,0.6071428571428571,0.6071428571428571,0.6620879120879121,0.6384615384615384,0.03358397096689259,225,0.6826923076923077,0.6160714285714286,0.6229395604395604,0.6833791208791209,0.6737637362637363,0.6557692307692309,0.02988197812785686
170,0.8097840785980225,0.10892201974723682,0.06761908531188965,0.0013612632074840774,0.001,"(25, 25)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 5}",0.6813186813186813,0.728021978021978,0.7554945054945055,0.6373626373626373,0.7252747252747253,0.7054945054945055,0.04153351909662474,110,0.6854395604395604,0.7396978021978022,0.7706043956043956,0.7122252747252747,0.7541208791208791,0.7324175824175824,0.03032138264694586
171,0.8301886081695556,0.1332187135496141,0.06941585540771485,0.006152975131764022,0.001,"(25, 25)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",0.6593406593406593,0.8434065934065934,0.7197802197802198,0.7939560439560439,0.8434065934065934,0.771978021978022,0.0722480464772593,45,0.6593406593406593,0.8729395604395604,0.7239010989010989,0.8392857142857143,0.8372252747252747,0.7865384615384616,0.08114098308111707
172,0.8209860324859619,0.10026944928941124,0.06661500930786132,0.0016254646847654577,0.001,"(25, 25)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 15}",0.8461538461538461,0.8763736263736264,0.7664835164835165,0.7857142857142857,0.7884615384615384,0.8126373626373626,0.041533519096624734,21,0.8701923076923077,0.875,0.8083791208791209,0.8207417582417582,0.8021978021978022,0.8353021978021978,0.031067651172920138
