,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
167,0.5063148498535156,0.09337540592898293,0.0026005268096923827,0.0004900571400079585,0.0001,"(25, 25)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 25}",0.6346153846153846,0.6895604395604396,0.6703296703296703,0.6538461538461539,0.6181318681318682,0.6532967032967033,0.02526277787378603,93,0.7513736263736264,0.7081043956043956,0.7039835164835165,0.7087912087912088,0.6758241758241759,0.7096153846153846,0.024167237486092886
168,0.4769082546234131,0.0888942304392997,0.0024004459381103517,0.0004900377176796412,0.0001,"(25, 25)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 30}",0.6428571428571429,0.6318681318681318,0.6840659340659341,0.6813186813186813,0.6703296703296703,0.6620879120879121,0.0209944760159811,73,0.7506868131868132,0.7293956043956044,0.7293956043956044,0.7870879120879121,0.7465659340659341,0.7486263736263735,0.021106519057424195
169,0.5255192756652832,0.05397741307115783,0.0032009124755859376,0.0004003525632173939,0.0001,"(25, 25)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 35}",0.6840659340659341,0.6703296703296703,0.7087912087912088,0.6565934065934066,0.7307692307692307,0.6901098901098901,0.026658262572985064,18,0.8028846153846154,0.7438186813186813,0.7918956043956044,0.7802197802197802,0.7740384615384616,0.7785714285714286,0.019998414983685046
170,0.5325209140777588,0.05960069010367788,0.003000640869140625,1.9073486328125e-07,0.0001,"(25, 25)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 40}",0.6813186813186813,0.6593406593406593,0.6703296703296703,0.6675824175824175,0.7087912087912088,0.6774725274725275,0.017165383903091573,54,0.8035714285714286,0.7445054945054945,0.7925824175824175,0.7946428571428571,0.790521978021978,0.7851648351648353,0.02081123289388349
171,0.20204596519470214,0.03998387052863363,0.0010000228881835937,1.1680077279964343e-07,0.0001,"(100, 25, 100)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 2}",0.47802197802197804,0.5604395604395604,0.5247252747252747,0.5467032967032966,0.5027472527472527,0.5225274725274726,0.029660152914869835,174,0.5260989010989011,0.5206043956043956,0.5343406593406593,0.5212912087912088,0.5370879120879121,0.5278846153846154,0.0067237572805057
172,0.3254740238189697,0.07157795000069102,0.0010001182556152344,3.504023183989303e-07,0.0001,"(100, 25, 100)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 5}",0.5302197802197802,0.5631868131868132,0.5082417582417582,0.5659340659340659,0.5192307692307693,0.5373626373626373,0.02328529681364515,146,0.5364010989010989,0.5590659340659341,0.5597527472527473,0.5171703296703297,0.5439560439560439,0.5432692307692307,0.015811626968710617
173,0.36948413848876954,0.06280787772150959,0.0020005226135253905,3.504023183989303e-07,0.0001,"(100, 25, 100)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 10}",0.5989010989010989,0.6098901098901099,0.6483516483516484,0.6126373626373627,0.6208791208791209,0.6181318681318682,0.01666566031659682,111,0.6160714285714286,0.5975274725274725,0.6195054945054945,0.6840659340659341,0.6291208791208791,0.6292582417582417,0.02925662947629145
174,0.48390979766845704,0.11400894794804121,0.002200603485107422,0.00039994720552788215,0.0001,"(100, 25, 100)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 15}",0.6291208791208791,0.6428571428571429,0.6346153846153846,0.5659340659340659,0.6538461538461539,0.6252747252747253,0.03081824980742893,107,0.6641483516483516,0.6394230769230769,0.6531593406593407,0.6662087912087912,0.6813186813186813,0.6608516483516483,0.013977281150456062
175,0.5707297325134277,0.11880175360033253,0.0026004791259765627,0.000490018183218949,0.0001,"(100, 25, 100)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 20}",0.6510989010989011,0.6675824175824175,0.7087912087912088,0.6675824175824175,0.6620879120879121,0.6714285714285714,0.019627001208232707,62,0.6868131868131868,0.6737637362637363,0.7053571428571429,0.7355769230769231,0.6806318681318682,0.6964285714285714,0.022217106174896414
176,0.6209410190582275,0.12670558721826936,0.003000640869140625,0.0006327112812117967,0.0001,"(100, 25, 100)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 25}",0.6620879120879121,0.6895604395604396,0.6620879120879121,0.6923076923076923,0.6840659340659341,0.6780219780219781,0.01327807249845558,49,0.7458791208791209,0.7108516483516484,0.7087912087912088,0.7396978021978022,0.7115384615384616,0.7233516483516483,0.016015564597694477
177,0.5777309894561767,0.09623501643656947,0.003000831604003906,3.2340669551493016e-07,0.0001,"(100, 25, 100)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 30}",0.6730769230769231,0.7032967032967034,0.7087912087912088,0.6840659340659341,0.7060439560439561,0.695054945054945,0.014008295367013148,9,0.7740384615384616,0.7554945054945055,0.7472527472527473,0.7760989010989011,0.7506868131868132,0.7607142857142858,0.012026881395520633
178,0.617741870880127,0.06192795370214199,0.003600788116455078,0.0004901349839899056,0.0001,"(100, 25, 100)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 35}",0.7032967032967034,0.7087912087912088,0.7087912087912088,0.6346153846153846,0.7252747252747253,0.6961538461538461,0.031639956151402145,6,0.8056318681318682,0.7616758241758241,0.7891483516483516,0.7740384615384616,0.7788461538461539,0.7818681318681319,0.014804608335502739
