,GMM,Kmeans
2,0.001216083,0.014386781
5,0.001587395,0.021151291
10,0.016746737,0.037150163
15,0.027931852,0.048111631
20,0.047056289,0.044447161
25,0.050150419,0.053337287
30,0.040712391,0.057860658
35,0.046931489,0.061695161
40,0.054293033,0.054719809
