,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.5711294015248617,0.09071067027663823,0.001666704813639323,0.00047165134277924473,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5,0.5115511551155115,0.5,0.5038461538461538,0.0054437689395087545,110,0.5,0.4802306425041186,0.5,0.4934102141680395,0.009319364496692552
1,0.9078726768493652,0.040623954056229365,0.0020004908243815103,1.1239159602905075e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5,0.4933993399339934,0.4884488448844885,0.493956043956044,0.004733398378943617,157,0.5,0.49341021416803954,0.48599670510708404,0.49313563975837454,0.005720117148819229
2,1.0462373892466228,0.039107340104304146,0.0020006497701009116,1.1239159602905075e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.4605263157894737,0.5363036303630363,0.5874587458745875,0.528021978021978,0.05216331571318329,24,0.47854785478547857,0.5345963756177924,0.5658978583196046,0.5263473629076252,0.03613438286334621
3,1.1499275366465251,0.033527735836697686,0.002333958943684896,0.0004713141679983425,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.4720394736842105,0.5082508250825083,0.5,0.49340659340659343,0.01550367190927285,163,0.48102310231023104,0.5304777594728172,0.5041186161449753,0.5052064926426746,0.02020442831366295
4,1.2412815888722737,0.046249646455272804,0.00200041135152181,1.1239159602905075e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5131578947368421,0.5214521452145214,0.5,0.5115384615384615,0.00882782045256699,73,0.5495049504950495,0.5469522240527183,0.5,0.5321523915159226,0.022759046746546354
5,1.3293017546335857,0.02567031532033147,0.0020002524058024087,1.1239159602905075e-07,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.5,0.5346534653465347,0.5016501650165016,0.512087912087912,0.015957341335739807,71,0.5,0.5263591433278418,0.49835255354200986,0.5082372322899505,0.012831764355351924
6,1.432658354441325,0.028693178993872217,0.002667506535847982,0.00047159517711601586,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.5115131578947368,0.528052805280528,0.5214521452145214,0.5203296703296704,0.00680052844678673,48,0.5074257425742574,0.5230642504118617,0.5197693574958814,0.5167531168273335,0.006731221418368482
7,1.4926719665527344,0.05904079858289999,0.002334038416544596,0.0004712579621498098,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.5,0.5016501650165016,0.4570957095709571,0.48626373626373626,0.020618927647756555,176,0.5,0.49670510708401977,0.5065897858319605,0.5010982976386601,0.004109453472568853
8,1.5490179856618245,0.041355566062853386,0.0030007362365722656,3.371747880871523e-07,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.4753289473684211,0.5,0.5,0.49175824175824173,0.01163642008710484,172,0.5222772277227723,0.5,0.5,0.5074257425742574,0.010501585859206162
9,0.5464571317036947,0.053586225831592865,0.0013335545857747395,0.00047148278552956437,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.5805921052631579,0.5874587458745875,0.5891089108910891,0.5857142857142857,0.003689851387617028,2,0.5759075907590759,0.5873146622734761,0.6144975288303131,0.592573260620955,0.016187144539635153
10,0.8648631572723389,0.02000994443000852,0.001667022705078125,0.0004717075687024718,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.48026315789473684,0.5198019801980198,0.5,0.5,0.01614606861344265,126,0.466996699669967,0.5107084019769358,0.5016474464579901,0.4931175160349643,0.01883698515172587
11,0.9868908723195394,0.02412044237012192,0.001667340596516927,0.0004717642163377774,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.6134868421052632,0.5016501650165016,0.5247524752475248,0.5467032967032966,0.048231066883845916,11,0.58003300330033,0.500823723228995,0.5321252059308073,0.5376606441533774,0.03257308008761954
12,1.085246245066325,0.008288687178615032,0.0016674200693766277,0.0004719887584278997,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.48026315789473684,0.5,0.5495049504950495,0.5098901098901099,0.029126180984334952,79,0.4975247524752475,0.5,0.5609555189456342,0.5194934238069605,0.0293355383172415
13,1.1922704378763835,0.012678303836931703,0.001333793004353841,0.00047148278552956437,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.4934210526315789,0.5016501650165016,0.5214521452145214,0.5054945054945055,0.011764604842770704,100,0.5033003300330033,0.49670510708401977,0.5205930807248764,0.5068661726139665,0.010072909084957305
