,GMM,Kmeans
2,0.014610823,0.015308364
5,0.015602359,0.008663642
10,0.010035247,0.015401662
15,0.00946523,0.00745392
20,0.010090971,0.008037422
25,0.006758731,0.003125077
30,0.005447603,0.006427649
35,0.004498928,0.003544523
40,0.004102539,0.003393355
