,Digits log-likelihood,Madelon log-likelihood
2,3.007293923208921,-591.9980049574192
5,42.220627252575504,329.7913391479231
10,56.619793959562486,1286.1184380494367
15,64.06383460939897,1713.3630477098925
20,75.9368867946152,2010.121805404836
25,86.11409338084766,2076.2945493024145
30,97.03268393422792,2223.6876783369958
35,105.50122335243678,2336.4512503031074
40,113.3499909474145,2414.3134793037248
