,Digits SSE (left),Madelon SSE (left)
2,100429.19697377706,901709.4212306889
5,85180.18859010603,891880.8627348235
10,69406.18594429421,885554.7495464822
15,60060.56355916323,881723.6105713038
20,54358.218390652386,878695.336026744
25,48226.40977413094,875795.699936256
30,44891.23013109102,873355.7304788167
35,42487.85753902864,870519.7630835772
40,40263.57180872752,867758.1946990085
