,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
97,0.879999828,0.075431874,0.001200104,0.000399995,0.001,"(50, 50)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.879120879,0.776243094,0.830083565,0.829131653,0.785915493,0.820255982,0.036878534,5,0.874389393,0.861324042,0.843532684,0.853472222,0.864771151,0.859497898,0.010431639
98,0.948015499,0.127294412,0.001400089,0.000489999,0.001,"(50, 50)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.807692308,0.809392265,0.816155989,0.829131653,0.76056338,0.804674457,0.023149286,25,0.836706211,0.896167247,0.863699583,0.858333333,0.861997226,0.86338072,0.019047192
99,0.238854313,0.086282755,0.00099864,3.92E-06,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.354395604,0.168508287,0.348189415,0.179271709,0.21971831,0.254312743,0.081411481,169,0.335659456,0.18466899,0.341446453,0.18125,0.224687933,0.253542566,0.07109522
100,0.363683033,0.04617355,0.001000118,2.78E-07,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.57967033,0.610497238,0.621169916,0.630252101,0.636619718,0.615470228,0.020071202,135,0.630146546,0.649477352,0.69123783,0.627083333,0.697642164,0.659117445,0.029914217
101,0.490313148,0.155728121,0.000800467,0.000400234,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.802197802,0.709944751,0.757660167,0.792717087,0.2,0.653867557,0.227524092,111,0.813677599,0.803484321,0.845618915,0.771527778,0.203190014,0.687499725,0.243307037
102,0.546324158,0.131272292,0.000800228,0.000400114,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.771978022,0.76519337,0.788300836,0.176470588,0.721126761,0.645520312,0.234593221,118,0.799720865,0.870383275,0.845618915,0.159722222,0.837725381,0.702634132,0.272401632
103,0.603136826,0.09535438,0.001000261,3.57E-07,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.82967033,0.682320442,0.782729805,0.859943978,0.754929577,0.781858653,0.061755004,56,0.854152128,0.830662021,0.85674548,0.831944444,0.826629681,0.840026751,0.012740059
104,0.62254138,0.130802079,0.001200151,0.000400209,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.766483516,0.273480663,0.746518106,0.834733894,0.777464789,0.678909293,0.205722235,99,0.782274948,0.264111498,0.807371349,0.847916667,0.861997226,0.712734338,0.226100944
105,0.757571888,0.057907889,0.001000309,1.91E-07,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.824175824,0.754143646,0.791086351,0.854341737,0.746478873,0.79410128,0.040934351,44,0.849965108,0.828571429,0.862308762,0.836111111,0.865464632,0.848484208,0.014361466
106,0.853793812,0.09361744,0.000999975,1.78E-07,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.848901099,0.814917127,0.838440111,0.778711485,0.735211268,0.803561491,0.041605279,27,0.874389393,0.892682927,0.869958275,0.811111111,0.856449376,0.860918216,0.027469657
