,GMM,Kmeans
2,0.0180532,0.179168027
5,0.377078048,0.414319434
10,0.674044212,0.600185856
15,0.668972994,0.659376993
20,0.636053447,0.665724239
25,0.636392862,0.644990366
30,0.61754108,0.606842567
35,0.595025122,0.573004782
40,0.564277171,0.568726884
