,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.2904659271240234,0.019524479780647155,0.002000570297241211,2.132480599880018e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5631868131868132,0.5576923076923077,0.5879120879120879,0.5137362637362637,0.554945054945055,0.5554945054945055,0.023912148513174688,141,0.5913461538461539,0.5618131868131868,0.5927197802197802,0.5693681318681318,0.5666208791208791,0.5763736263736263,0.01301977539678329
1,0.25505776405334474,0.05159821432857595,0.0018010616302490234,0.00039913663940469545,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.5,0.5741758241758241,0.5659340659340659,0.5,0.5192307692307693,0.5318681318681319,0.03206645376135135,228,0.5,0.573489010989011,0.5831043956043956,0.5006868131868132,0.5089285714285714,0.5332417582417582,0.03704617105722544
2,0.33747687339782717,0.05708373188567405,0.0020001888275146484,1.1680077279964343e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.6208791208791209,0.5,0.5,0.5631868131868132,0.6071428571428571,0.5582417582417583,0.051231660223912255,122,0.592032967032967,0.5,0.5,0.6133241758241759,0.6016483516483516,0.561401098901099,0.05058527158894024
3,0.4158946514129639,0.051397961896059156,0.0020001411437988283,4.370284743266906e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.5302197802197802,0.5494505494505495,0.5989010989010989,0.5659340659340659,0.5384615384615384,0.5565934065934066,0.024300378447797772,136,0.5714285714285714,0.551510989010989,0.5989010989010989,0.6064560439560439,0.5755494505494505,0.5807692307692307,0.01979452321674088
4,0.49471278190612794,0.10554463995734216,0.0019999980926513673,3.568322550558034e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.5659340659340659,0.6153846153846154,0.5027472527472527,0.5631868131868132,0.5192307692307693,0.5532967032967033,0.039568070082173265,153,0.6119505494505495,0.6146978021978022,0.521978021978022,0.6195054945054945,0.5123626373626373,0.576098901098901,0.04827158393633609
5,0.5233188152313233,0.04146456310108348,0.0016005516052246093,0.0004901155693855792,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",0.5521978021978022,0.5137362637362637,0.5851648351648352,0.5796703296703297,0.5961538461538461,0.5653846153846154,0.02960921667100547,93,0.5625,0.5350274725274725,0.5989010989010989,0.6160714285714286,0.6009615384615384,0.5826923076923076,0.02963214881592051
6,0.5847328186035157,0.07900346998705368,0.001800394058227539,0.0004001140736550456,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 30}",0.6236263736263736,0.5796703296703297,0.6098901098901099,0.5274725274725275,0.554945054945055,0.5791208791208792,0.03515624895175031,47,0.6195054945054945,0.5865384615384616,0.6050824175824175,0.6037087912087912,0.5652472527472527,0.5960164835164835,0.01859932718196507
7,0.6175401210784912,0.06425649697772193,0.0022005081176757813,0.0004001141304822542,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 35}",0.5989010989010989,0.5274725274725275,0.5934065934065934,0.5247252747252747,0.5686813186813187,0.5626373626373626,0.03153482385116865,105,0.5892857142857143,0.5364010989010989,0.6023351648351648,0.5789835164835165,0.5741758241758241,0.5762362637362637,0.022136277756194884
8,0.7337669372558594,0.0889256642043087,0.0022003173828125,0.00040009025666136835,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 40}",0.6098901098901099,0.6126373626373627,0.5961538461538461,0.5796703296703297,0.5989010989010989,0.5994505494505494,0.011707294369594792,3,0.6243131868131868,0.6153846153846154,0.6119505494505495,0.6243131868131868,0.5851648351648352,0.6122252747252748,0.014384432792937784
9,0.647949504852295,0.03877995709398391,0.0019980907440185548,4.602404980473958e-06,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 45}",0.5989010989010989,0.6016483516483516,0.4945054945054945,0.43956043956043955,0.5686813186813187,0.5406593406593406,0.06363671650073033,200,0.6105769230769231,0.6105769230769231,0.5391483516483516,0.4945054945054945,0.5570054945054945,0.5623626373626374,0.04432026302139594
10,0.8063831329345703,0.06652557528511091,0.002000284194946289,8.313939940530154e-07,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 50}",0.5879120879120879,0.5906593406593407,0.5906593406593407,0.5631868131868132,0.6098901098901099,0.5884615384615385,0.01488595294960888,21,0.6339285714285714,0.6071428571428571,0.6098901098901099,0.6284340659340659,0.6195054945054945,0.6197802197802197,0.010321410656136914
