,Digits SSE (left),Madelon SSE (left)
2,106237.1505483896,80608.2135105589
5,102148.6331482667,78153.91731632638
10,95254.03823859201,75689.12405745409
15,89702.45654291518,73999.98833368593
20,83758.6806908668,72651.78195793265
25,78405.99259302697,71633.49300322303
30,74583.99363562906,70665.78590118972
35,71826.57530508502,69767.95195090001
40,68764.39390167882,69038.79066547811
