,GMM,Kmeans
2,0.000277605,0.000148033
5,0.00072628,0.001909032
10,0.00310934,0.000935645
15,2.95E-05,0.000179915
20,0.000252374,0.001318479
25,0.001102076,0.001183484
30,0.000625432,0.001418862
35,0.000402337,0.002514394
40,-0.000184606,0.001672626
