,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.293466854095459,0.051059044464416656,0.0010000705718994141,1.1680077279964343e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.14835164835164835,0.1270718232044199,0.10306406685236769,0.17647058823529413,0.12112676056338029,0.1352253756260434,0.02514282892451363,155,0.17585484996510817,0.13867595818815331,0.11404728789986092,0.17916666666666667,0.11650485436893204,0.14484992341774422,0.028033221285844376
1,0.42889747619628904,0.06794647370497679,0.0010002613067626952,2.431401974483864e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.1401098901098901,0.22375690607734808,0.19220055710306408,0.11204481792717087,0.15492957746478872,0.16471897607122982,0.03931703246737643,125,0.1584089323098395,0.30383275261324044,0.24895688456189152,0.11597222222222223,0.15048543689320387,0.19553124572007952,0.06974287712263273
2,0.5703294754028321,0.1341789178572059,0.0010000228881835937,4.156969970265077e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.17857142857142858,0.36187845303867405,0.23676880222841226,0.3753501400560224,0.10422535211267606,0.25153032832498606,0.10443721714339108,77,0.21632937892533147,0.42787456445993033,0.31641168289290683,0.4444444444444444,0.10540915395284327,0.3020938449350913,0.12831983039683803
3,0.8017820358276367,0.17373387676027816,0.0010003089904785157,1.1680077279964343e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.19505494505494506,0.2900552486187845,0.5292479108635098,0.46218487394957986,0.30985915492957744,0.3567056204785754,0.12157039997823002,41,0.2568039078855548,0.35400696864111497,0.7294853963838664,0.4888888888888889,0.41400832177531205,0.4486386967149475,0.15965585471061208
4,0.6223414421081543,0.13609485267661747,0.0010005474090576173,3.568322550558034e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.1510989010989011,0.2569060773480663,0.26740947075208915,0.19887955182072828,0.36338028169014086,0.24707846410684475,0.07142589545775914,79,0.18771807397069085,0.3184668989547038,0.25521557719054244,0.21944444444444444,0.34812760055478503,0.2657945190230333,0.05984862674770032
5,0.9014068603515625,0.36435282433907273,0.0011981964111328126,0.00039629940521328125,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.20604395604395603,0.6519337016574586,0.649025069637883,0.06722689075630252,0.23380281690140844,0.3622704507512521,0.24254437232026846,39,0.21284019539427773,0.8118466898954704,0.8011126564673157,0.1076388888888889,0.3300970873786408,0.4527071036049187,0.29732443365695643
6,0.9734227657318115,0.4134011247059558,0.0010000705718994141,1.9073486328124998e-07,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.5576923076923077,0.1132596685082873,0.7465181058495822,0.5070028011204482,0.10422535211267606,0.4062326099053979,0.2551594229665073,27,0.6594556873691556,0.16445993031358885,0.8671766342141863,0.5451388888888888,0.11650485436893204,0.4705471990309503,0.2889984926952025
7,1.2120749950408936,0.3083564240295393,0.0010001182556152344,9.536743164062499e-08,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.5989010989010989,0.6519337016574586,0.7437325905292479,0.6050420168067226,0.09295774647887324,0.5397885364496383,0.22768242208391049,9,0.724354501046755,0.7463414634146341,0.8762169680111266,0.6923611111111111,0.14285714285714285,0.636426237288154,0.2545786684424809
8,0.8916022300720214,0.25801913040790414,0.0012001514434814454,0.0004002094410833008,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.0989010989010989,0.5248618784530387,0.15041782729805014,0.39215686274509803,0.6,0.35225375626043404,0.1989567842775309,44,0.10397766922540126,0.6348432055749129,0.14534075104311545,0.42916666666666664,0.7115117891816921,0.4049680163383577,0.2471431843742181
9,0.20444650650024415,0.01785427878747747,0.0008001327514648438,0.0004000664041494148,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.10164835164835165,0.10220994475138122,0.1309192200557103,0.12885154061624648,0.10422535211267606,0.11352253756260434,0.013362618295010361,178,0.11444521981856245,0.11219512195121951,0.14394993045897078,0.12986111111111112,0.11095700416088766,0.12228167750015029,0.012793419388329178
10,0.3374765872955322,0.057631165979578035,0.000800180435180664,0.0004000902850766651,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.15934065934065933,0.08839779005524862,0.09749303621169916,0.0784313725490196,0.15211267605633802,0.11519198664440734,0.033760469997069206,173,0.20097697138869505,0.09686411149825784,0.10013908205841446,0.09861111111111111,0.16296809986130376,0.13191187518355646,0.04261754008664049
