,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.09602169990539551,0.01487620773686463,0.0010004520416259765,1.784161275279017e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.18956043956043955,0.23204419889502761,0.1532033426183844,0.17086834733893558,0.16338028169014085,0.18196994991652754,0.027836260885186828,226,0.17515701325889743,0.23205574912891985,0.16759388038942977,0.16111111111111112,0.16851595006934814,0.18088674079154127,0.025968863363069587
1,0.5295201301574707,0.2766574965602977,0.0008001327514648438,0.0004000665178173663,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.42032967032967034,0.1878453038674033,0.6657381615598886,0.7983193277310925,0.6732394366197183,0.5475792988313857,0.21851237890287475,170,0.37334263782274946,0.1916376306620209,0.7322670375521557,0.7611111111111111,0.7593619972260749,0.5635440828748224,0.23678505888651505
2,0.6947580337524414,0.21669796141566403,0.000800180435180664,0.00040009031349195985,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.7527472527472527,0.46408839779005523,0.7325905292479109,0.8123249299719888,0.7070422535211267,0.6933778519755147,0.12024816446054311,140,0.8422889043963713,0.532404181184669,0.8157162726008345,0.8243055555555555,0.812760055478502,0.7654949938431865,0.11699869803055636
3,0.7991815090179444,0.12855795941321416,0.0010003089904785157,1.9073486328124998e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.8434065934065934,0.7734806629834254,0.7938718662952646,0.8431372549019608,0.780281690140845,0.806900389538119,0.030490962832440308,107,0.8715980460572226,0.8961672473867596,0.8324061196105702,0.8076388888888889,0.883495145631068,0.8582610895149019,0.03311372968261345
4,0.5285197734832764,0.2174989529576709,0.0010004520416259765,4.1019083342755444e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.09615384615384616,0.8480662983425414,0.7827298050139275,0.4649859943977591,0.7464788732394366,0.5865331107401224,0.2795850044639689,163,0.09699930216329379,0.8878048780487805,0.8539638386648123,0.5534722222222223,0.869625520110957,0.6523731522420132,0.30380487192389477
5,0.792379903793335,0.09878339687781332,0.0010000228881835937,1.1680077279964343e-07,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",0.8021978021978022,0.8287292817679558,0.8885793871866295,0.8907563025210085,0.7915492957746478,0.8402893711741792,0.041975912787302075,84,0.8681088625261689,0.9198606271777003,0.9102920723226704,0.9180555555555555,0.9230235783633842,0.9078681391890958,0.02031731325515849
6,0.7143645286560059,0.1117391207152034,0.0008001327514648438,0.0004000663757324219,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 30}",0.9065934065934066,0.7900552486187845,0.7465181058495822,0.907563025210084,0.8788732394366198,0.8458542014468559,0.06570944255702818,73,0.9002093510118633,0.9428571428571428,0.8344923504867872,0.9305555555555556,0.9486823855755895,0.9113593570973876,0.04192009622789242
7,0.7629727840423584,0.07068900410531477,0.0008000373840332031,0.0004000188483286684,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 35}",0.8571428571428571,0.8121546961325967,0.8802228412256268,0.9187675070028011,0.8225352112676056,0.8580968280467446,0.03878500488909715,51,0.9316120027913468,0.9470383275261324,0.9339360222531293,0.9541666666666667,0.9348127600554785,0.9403131558585507,0.00876104956474726
8,0.7043601036071777,0.14557730776019773,0.000800180435180664,0.00040009031349195985,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 40}",0.8708791208791209,0.7182320441988951,0.8913649025069638,0.9131652661064426,0.780281690140845,0.8347245409015025,0.07380611691288164,93,0.9295184926727146,0.8731707317073171,0.9443671766342142,0.9166666666666666,0.9063800277392511,0.9140206190840328,0.024063213183260074
9,0.8073832511901855,0.19809663802115826,0.0010000228881835937,4.672030911985737e-07,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 45}",0.8873626373626373,0.861878453038674,0.9108635097493036,0.9439775910364145,0.8169014084507042,0.8842515303283249,0.04300063957857991,11,0.9232379623168179,0.9463414634146341,0.9659248956884562,0.9597222222222223,0.9327323162274619,0.9455917719739185,0.015992035453610814
10,0.7859787464141845,0.09355077386394936,0.0010002613067626952,0.0006327112991799979,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 50}",0.9175824175824175,0.8646408839779005,0.8913649025069638,0.8879551820728291,0.8704225352112676,0.8864774624373957,0.018659163485804552,10,0.9546406140963015,0.9595818815331011,0.9520166898470097,0.9263888888888889,0.970873786407767,0.9527003721546137,0.014657109325344173
