,Digits log-likelihood,Madelon log-likelihood
2,-19.13876444130733,-63.33442573027053
5,-5.884046553368854,-62.052113783118834
10,8.26725883834386,-60.576649927075856
15,20.392116774749436,-58.7873483674667
20,26.714737987624808,-56.89079692045896
25,42.07619648701424,-54.10314403102325
30,47.196862530995624,-48.499275323880205
35,56.90915285513289,-39.387307986199026
40,65.36137817411566,-28.3827856869207
