,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.2368539810180664,0.03824160625450511,0.0010001659393310547,1.5078914929239175e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5,0.5412087912087912,0.5,0.5274725274725275,0.510989010989011,0.515934065934066,0.016150481820548422,45,0.5,0.5281593406593407,0.5041208791208791,0.5302197802197802,0.5315934065934066,0.5188186813186813,0.013788362737724845
1,0.334675931930542,0.06216080252038546,0.001600170135498047,0.0004899988150299687,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.49175824175824173,0.5357142857142857,0.4807692307692308,0.5741758241758241,0.5247252747252747,0.5214285714285715,0.03325878230861879,19,0.4793956043956044,0.5350274725274725,0.5144230769230769,0.5336538461538461,0.5096153846153846,0.5144230769230769,0.020220788018362794
2,0.35468077659606934,0.04444723776532281,0.0022005558013916014,0.00040009025666136835,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.510989010989011,0.5164835164835165,0.5192307692307693,0.5192307692307693,0.5467032967032966,0.5225274725274726,0.012456905548081992,14,0.529532967032967,0.5494505494505495,0.5267857142857143,0.5364010989010989,0.5233516483516484,0.5331043956043956,0.009228888479253208
3,0.29666728973388673,0.052214338324752904,0.0028004169464111326,0.000748442932127633,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5274725274725275,0.510989010989011,0.45604395604395603,0.5137362637362637,0.5824175824175825,0.5181318681318682,0.040361247631224104,34,0.510989010989011,0.540521978021978,0.5302197802197802,0.5391483516483516,0.5439560439560439,0.532967032967033,0.011888020067812529
4,0.288665771484375,0.0687459508137512,0.003000783920288086,1.784161275279017e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5027472527472527,0.5054945054945055,0.5137362637362637,0.5357142857142857,0.5192307692307693,0.5153846153846153,0.011733053024210236,48,0.5206043956043956,0.5494505494505495,0.5460164835164835,0.5659340659340659,0.5364010989010989,0.5436813186813187,0.014963072929831001
5,0.2578584671020508,0.027160649199749917,0.004400873184204101,0.0004900571632066482,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.5192307692307693,0.489010989010989,0.5,0.5302197802197802,0.4835164835164835,0.5043956043956044,0.01777028750417169,103,0.5315934065934066,0.5192307692307693,0.5260989010989011,0.5927197802197802,0.5590659340659341,0.5457417582417582,0.027104680185539742
6,0.279463529586792,0.03618363693414544,0.005601263046264649,0.0008000615722541139,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.5576923076923077,0.5137362637362637,0.44505494505494503,0.5082417582417582,0.5302197802197802,0.510989010989011,0.03718444904546953,59,0.5439560439560439,0.5487637362637363,0.5240384615384616,0.5570054945054945,0.5673076923076923,0.5482142857142858,0.014455092671512406
7,0.30646958351135256,0.0340287898905026,0.006401538848876953,0.0004899792418945042,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.5054945054945055,0.48626373626373626,0.5054945054945055,0.49725274725274726,0.5027472527472527,0.49945054945054945,0.007247750526523576,150,0.5721153846153846,0.5274725274725275,0.5679945054945055,0.5473901098901099,0.5741758241758241,0.5578296703296702,0.017917269863255793
8,0.33107523918151854,0.05036274149058774,0.00820159912109375,0.0009798124835481911,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.49725274725274726,0.5357142857142857,0.48626373626373626,0.4945054945054945,0.4835164835164835,0.49945054945054945,0.018826199669243746,150,0.5521978021978022,0.5061813186813187,0.5439560439560439,0.5570054945054945,0.5934065934065934,0.5505494505494506,0.027903893622827858
9,0.17804040908813476,0.033854369745922465,0.0010002613067626952,3.2340669551493016e-07,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.5082417582417582,0.5357142857142857,0.49725274725274726,0.5054945054945055,0.4945054945054945,0.5082417582417582,0.014640563290631008,80,0.5137362637362637,0.5288461538461539,0.5041208791208791,0.529532967032967,0.5123626373626373,0.5177197802197802,0.009928192856919055
10,0.32767429351806643,0.06783748633812932,0.0012002944946289062,0.0004001379119606201,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.521978021978022,0.5274725274725275,0.5027472527472527,0.5521978021978022,0.5247252747252747,0.5258241758241758,0.01579132732219772,7,0.5302197802197802,0.532967032967033,0.5192307692307693,0.5315934065934066,0.5123626373626373,0.5252747252747253,0.008084581851407788
