,Digits log-likelihood,Madelon log-likelihood
2,-19.138764441474944,-7.0433206022597155
5,-5.8840465532925785,-6.88241443257148
10,8.267258838250331,-6.725237093990321
15,20.392116774709326,-6.5927628297996295
20,26.714737987648586,-6.4672408961126795
25,42.07619648705136,-6.395748717712938
30,47.196862530997954,-6.357368672114446
35,56.909152855120425,-6.26486525883413
40,65.36137817421962,-6.1961286964052436
