,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3056694507598877,0.08317552684650023,0.001000213623046875,2.3360154559928684e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.6208791208791209,0.5138121546961326,0.5403899721448467,0.5266106442577031,0.4591549295774648,0.5325542570951586,0.05229314278456957,244,0.5422191207257502,0.570034843205575,0.5806675938803895,0.5631944444444444,0.5769764216366158,0.5666184847785549,0.0135896199049393
1,0.44870195388793943,0.0956305449508377,0.0010001659393310547,2.132480599880018e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.8406593406593407,0.7541436464088398,0.8133704735376045,0.8235294117647058,0.7492957746478873,0.7963272120200334,0.0373974926091021,223,0.8709002093510119,0.8425087108013938,0.8789986091794159,0.8993055555555556,0.863384188626907,0.8710194547028568,0.018627637708142897
2,0.37908596992492677,0.05987633141700115,0.000800180435180664,0.0004000903703225433,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.8818681318681318,0.8204419889502762,0.871866295264624,0.907563025210084,0.828169014084507,0.8619922092376182,0.03295221465262519,207,0.9399860432658758,0.937979094076655,0.9235048678720446,0.9541666666666667,0.9313453536754508,0.9373964051113386,0.010177204480468157
3,0.2944671154022217,0.046908674205977656,0.0010000705718994141,3.2340669551493016e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",0.9340659340659341,0.8922651933701657,0.9025069637883009,0.9523809523809523,0.8535211267605634,0.9070673344462994,0.034209422293817515,111,0.9616189811584089,0.9574912891986063,0.9568845618915159,0.9472222222222222,0.9660194174757282,0.9578472943892964,0.006244276882677541
4,0.3188723087310791,0.03351209108999588,0.0014004707336425781,0.0004900765894038697,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 20}",0.9313186813186813,0.9116022099447514,0.9442896935933147,0.938375350140056,0.8704225352112676,0.9193099610461881,0.02664946307024419,64,0.9553384508025122,0.9742160278745644,0.9756606397774688,0.9777777777777777,0.9743411927877947,0.9714668178040237,0.008165301809853835
5,0.33727660179138186,0.03420269116311019,0.0012004375457763672,0.00040018562408369803,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 25}",0.9285714285714286,0.9088397790055248,0.935933147632312,0.9495798319327731,0.8901408450704226,0.9226488592097941,0.02082373292932958,52,0.9678995115143056,0.9804878048780488,0.9666203059805285,0.9833333333333333,0.9771151178918169,0.9750912147196067,0.00670266780454385
6,0.3304748058319092,0.10028194648505222,0.0010001182556152344,2.3360154559928684e-07,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 30}",0.9203296703296703,0.8922651933701657,0.9025069637883009,0.969187675070028,0.8816901408450705,0.9131886477462438,0.030664428497024856,92,0.9923237962316818,0.9331010452961672,0.9603616133518776,0.9847222222222223,0.9930651872399445,0.9727147728683786,0.023085406492187335
7,0.33807692527770994,0.05816108572862255,0.001000356674194336,2.78041453115716e-07,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 35}",0.9368131868131868,0.9088397790055248,0.947075208913649,0.969187675070028,0.8873239436619719,0.9298831385642737,0.028682906649993595,9,0.9916259595254711,0.9923344947735192,0.9826147426981919,0.9861111111111112,0.9819694868238558,0.9869311589864298,0.004362552199560827
8,0.34947953224182127,0.04839937402214937,0.0009999752044677734,4.1019083342755444e-07,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 40}",0.9340659340659341,0.9116022099447514,0.9442896935933147,0.9551820728291317,0.8845070422535212,0.9259877573734001,0.025120996294439746,30,0.9937194696441033,0.9742160278745644,0.9909596662030598,0.9888888888888889,0.978502080443828,0.985257226610889,0.007547932360989497
9,0.315671968460083,0.04782544296838549,0.0009999275207519531,3.9895058943465975e-07,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 45}",0.9203296703296703,0.8812154696132597,0.9415041782729805,0.9439775910364145,0.8901408450704226,0.9154145798553144,0.025782770265317858,81,0.9651081646894627,0.9867595818815331,0.9888734353268428,0.9777777777777777,0.9937586685159501,0.9824555256383134,0.010102353792692502
10,0.3720840930938721,0.0539933394815604,0.0010001659393310547,1.5078914929239175e-07,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 50}",0.9340659340659341,0.9088397790055248,0.9387186629526463,0.9551820728291317,0.895774647887324,0.9265442404006677,0.021311465638256432,22,0.9965108164689462,0.9881533101045297,0.9965229485396384,0.9916666666666667,0.9909847434119279,0.9927676970383418,0.0032801407042378104
