,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.14136528968811035,0.006129669060803175,0.0006669362386067709,0.00047159517711601586,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.4555921052631579,0.504950495049505,0.6039603960396039,0.5214285714285715,0.06169606158652203,172,0.5198019801980198,0.4975288303130148,0.6153212520593081,0.5442173541901142,0.05109368206601502
1,0.19671177864074707,0.009845602315957753,0.0010031064351399739,4.328171032012336e-06,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.506578947368421,0.5957095709570958,0.5627062706270627,0.554945054945055,0.036808113163741434,146,0.504950495049505,0.628500823723229,0.5749588138385503,0.5694700442037615,0.05058831138332349
2,0.3294080893198649,0.0814318308484032,0.0010002454121907551,2.247831920581015e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.6743421052631579,0.6138613861386139,0.6782178217821783,0.6554945054945055,0.029457349490493924,46,0.7046204620462047,0.6252059308072487,0.6845140032948929,0.6714467987161155,0.03371182601208359
3,0.39842383066813153,0.05088630954764736,0.0010003248850504558,1.1239159602905075e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6677631578947368,0.7277227722772277,0.7178217821782178,0.7043956043956044,0.02625838528425803,22,0.6831683168316832,0.7257001647446458,0.7438220757825371,0.7175635191196221,0.025421426267848497
4,0.3920893669128418,0.12935420235381412,0.0010031859079996746,4.103447800771582e-06,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.6167763157894737,0.5973597359735974,0.7293729372937293,0.6478021978021978,0.05817456639303474,50,0.6113861386138614,0.6194398682042833,0.7462932454695222,0.6590397507625556,0.06178508392815047
5,0.4351019859313965,0.030110967371614672,0.000997304916381836,4.046097457045827e-06,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.7302631578947368,0.7194719471947195,0.6963696369636964,0.7153846153846154,0.014138806586400043,16,0.7334983498349835,0.7339373970345964,0.714168039538715,0.7272012621360983,0.009217622942515387
6,0.5407890478769938,0.03160174908569089,0.0010002454121907551,1.1239159602905075e-07,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.6907894736842105,0.7326732673267327,0.7293729372937293,0.7175824175824176,0.01902442850694326,13,0.7054455445544554,0.7273476112026359,0.7405271828665568,0.7244401128745493,0.014468828484277158
7,0.43309815724690753,0.06414462394952924,0.0010003248850504558,2.9736021254650284e-07,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.5888157894736842,0.6072607260726073,0.6782178217821783,0.6247252747252747,0.03853703239753887,75,0.6303630363036303,0.628500823723229,0.7166392092257001,0.6585010230841865,0.041116934668435724
8,0.6081383228302002,0.11371264349798131,0.001333793004353841,0.000471314409210715,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.7138157894736842,0.6435643564356436,0.7277227722772277,0.695054945054945,0.036819941452817896,31,0.7211221122112211,0.6622734761120264,0.7405271828665568,0.7079742570632681,0.03327221289554472
9,0.08501903216044109,0.0014143920435766971,0.00033346811930338543,0.0004715951369378969,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.5230263157894737,0.4752475247524752,0.6237623762376238,0.5406593406593406,0.061871199778053984,154,0.4975247524752475,0.5123558484349259,0.6128500823723229,0.5409102277608321,0.05122823025756482
10,0.19338003794352213,0.03087295678458869,0.0010003248850504558,1.1239159602905075e-07,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.5394736842105263,0.5792079207920792,0.4768976897689769,0.5318681318681319,0.04209114465320576,164,0.5783828382838284,0.6095551894563427,0.5280065897858319,0.5719815391753343,0.03359837297412493
11,0.21837989489237467,0.03286938970622013,0.0010002454121907551,1.1239159602905075e-07,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.6052631578947368,0.5973597359735974,0.5214521452145214,0.5747252747252747,0.037776868415526015,136,0.6377887788778878,0.6054365733113674,0.5263591433278418,0.589861498505699,0.04680511465004396
12,0.27139488855997723,0.013915393855710986,0.0006667772928873698,0.0004714827855295644,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.618421052631579,0.6039603960396039,0.6386138613861386,0.6203296703296703,0.014203917084841897,80,0.613036303630363,0.6169686985172982,0.6359143327841845,0.6219731116439485,0.009987798140645413
