,GMM,Kmeans
2,0.038389008,-0.000200746
5,0.002436414,0.002255559
10,0.022113923,0.010911054
15,0.043636966,0.026741815
20,0.043229214,0.039229657
25,0.053477237,0.037582565
30,0.047168751,0.046110587
35,0.055036351,0.043670444
40,0.052662282,0.046753297
