,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.17463970184326172,0.017296971697147407,0.001800203323364258,0.0004004956853007636,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.6373626373626373,0.6208791208791209,0.6978021978021978,0.5741758241758241,0.6428571428571429,0.6346153846153846,0.03977354081506342,98,0.6552197802197802,0.654532967032967,0.6387362637362637,0.6483516483516484,0.6380494505494505,0.6469780219780219,0.007409947230363309
1,0.4541030406951904,0.18325183706369538,0.0020005226135253905,2.7804145311571603e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.804945054945055,0.7472527472527473,0.7582417582417582,0.7692307692307693,0.7335164835164835,0.7626373626373626,0.024238181318805275,9,0.8502747252747253,0.75,0.845467032967033,0.8379120879120879,0.7451923076923077,0.8057692307692308,0.04768561316766247
2,0.32787470817565917,0.056867901236822525,0.0024007320404052734,0.0004899987918285166,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.7335164835164835,0.7307692307692307,0.695054945054945,0.728021978021978,0.7582417582417582,0.7291208791208791,0.02015817178883971,13,0.8125,0.7980769230769231,0.7190934065934066,0.7815934065934066,0.801510989010989,0.782554945054945,0.03324232585111621
3,0.3864893436431885,0.09188758369124052,0.0021985530853271484,0.00039632327216831135,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",0.7005494505494505,0.7307692307692307,0.6703296703296703,0.6895604395604396,0.7032967032967034,0.6989010989010989,0.019703759425319902,38,0.820054945054945,0.8228021978021978,0.7129120879120879,0.7788461538461539,0.8186813186813187,0.7906593406593407,0.042111002761230136
4,0.3464786529541016,0.10653509735426628,0.0026007652282714843,0.0008000613591076697,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 20}",0.6703296703296703,0.6868131868131868,0.6785714285714286,0.6016483516483516,0.6675824175824175,0.660989010989011,0.030423886153642048,68,0.7369505494505495,0.8001373626373627,0.8399725274725275,0.6730769230769231,0.7953296703296703,0.7690934065934066,0.05818633325871661
5,0.30026793479919434,0.0732680418878306,0.0024005889892578123,0.0004902128898227447,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 25}",0.6923076923076923,0.6813186813186813,0.7032967032967034,0.6675824175824175,0.5631868131868132,0.6615384615384615,0.05057930317742883,66,0.8166208791208791,0.7520604395604396,0.8021978021978022,0.8159340659340659,0.6050824175824175,0.7583791208791208,0.08020543112672839
6,0.3086695671081543,0.10871433891426296,0.002400636672973633,0.0004901739639665494,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 30}",0.6565934065934066,0.6071428571428571,0.7060439560439561,0.5851648351648352,0.6510989010989011,0.6412087912087913,0.04204643180155824,85,0.7822802197802198,0.6620879120879121,0.853021978021978,0.6380494505494505,0.8035714285714286,0.7478021978021978,0.08338194955101874
7,0.3336758613586426,0.1104035270226278,0.0024004459381103517,0.0004900376480808073,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 35}",0.5906593406593407,0.6071428571428571,0.6510989010989011,0.6456043956043956,0.6620879120879121,0.6313186813186813,0.027494496710322655,105,0.6407967032967034,0.6009615384615384,0.7747252747252747,0.8269230769230769,0.834478021978022,0.735576923076923,0.09670856472913641
8,0.34167752265930174,0.10369368819869813,0.002600574493408203,0.0004899015216843688,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 40}",0.6428571428571429,0.6510989010989011,0.6071428571428571,0.5769230769230769,0.5686813186813187,0.6093406593406593,0.03339466241543464,143,0.757554945054945,0.8681318681318682,0.6895604395604396,0.7527472527472527,0.6304945054945055,0.7396978021978022,0.07927621351466987
9,0.36508331298828123,0.15019663513141404,0.003000497817993164,3.015782985847835e-07,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 45}",0.6071428571428571,0.6181318681318682,0.6675824175824175,0.5604395604395604,0.5851648351648352,0.6076923076923076,0.03587874223585604,144,0.9278846153846154,0.6339285714285714,0.8468406593406593,0.6407967032967034,0.6703296703296703,0.743956043956044,0.1204854353355785
10,0.3002683162689209,0.03722892529233496,0.002400779724121094,0.0004898624875375237,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 50}",0.5824175824175825,0.6510989010989011,0.6236263736263736,0.5906593406593407,0.5879120879120879,0.6071428571428571,0.026293376074737137,145,0.742445054945055,0.8186813186813187,0.7067307692307693,0.7486263736263736,0.7486263736263736,0.753021978021978,0.03634429530187945
