,Digits SSE (left),Madelon SSE (left)
2,106237.15054838959,7712.1648655960635
5,102148.6331482667,5605.381757550556
10,95254.03823859198,4052.7180563068937
15,89702.45654291518,3330.013787007376
20,83758.68069086678,2895.5319191476274
25,78405.99259302698,2563.721223861386
30,74583.99363562907,2342.1860127007403
35,71826.57530508502,2169.897737154274
40,68764.39390167882,2036.868726134011
