,GMM,Kmeans
2,0.025035877,0.005829295
5,0.300972124,0.319846696
10,0.432146813,0.455591822
15,0.723597247,0.552253583
20,0.635884209,0.639245334
25,0.55997087,0.594082381
30,0.519965529,0.553108826
35,0.523148359,0.500794432
40,0.500085671,0.500346299
